waktu,pertanyaan,terjawab,skor,sumber
2026-08-19 14:53:22,apa itu ddss,Ya,0.312,KB-004 - DDSS (Digital Document Signature System)
2026-08-19 14:53:28,apa itu kominfotik,Ya,0.209,KB-013 - Kontak dan Layanan Dinas Kominfotik NTB
2026-08-19 15:41:37,minta esep nasgor,Tidak,0.0,
2026-08-19 15:59:06,resep bakso,Tidak,0.0,
2026-08-19 19:43:31,berikan saya serep soto,Tidak,0.0,
2026-08-20 09:01:59,layanan apa saja yang tersedia disini,Ya,0.216,KB-049 - Layanan yang tersedia
2026-08-20 09:30:33,informasi pndidikan,Ya,0.51,KB-009 - SIMASKOT (Sistem Informasi Survei Kepuasan Masyarakat Online Terintegrasi)
2026-08-20 09:32:52,dimana buat izin usaha?,Ya,0.56,KB-047 - Cara Mengurus Izin Usaha
2026-08-20 09:33:18,dimana buat izin usaha?,Ya,0.315,KB-047 - Cara Mengurus Izin Usaha
2026-08-20 09:36:33,Aplikasi apa yang dipakai untuk membubuhkan tanda tangan di,Tidak,0.412,
2026-08-20 09:37:11,Aplikasi apa yang dipakai untuk membubuhkan tanda tangan dig,Ya,0.334,KB-004 - DDSS (Digital Document Signature System)
2026-08-24 09:47:54,kemana lapor sungai kotor karena limbah?,Ya,0.336,KB-055 - Cara Melapor Masalah Lingkungan
2026-08-24 09:48:23,dimana kita minta bibit tanaman?,Ya,0.366,KB-054 - Layanan Dinas Pertanian NTB
2026-08-24 09:50:21,"saya lagi di lombok saya kesulitan kemana"" transpormasi apa aja yang ada disini",Tidak,0.185,
2026-08-24 09:50:48,saya ingin ke bandara naik apa ya,Ya,0.243,KB-052 - Informasi Angkutan Umum di NTB
2026-08-26 13:56:01,Apa itu DDSS?,Ya,0.299,KB-004 - DDSS (Digital Document Signature System)
